Date,Prediction
1973-01-01,45.09327578769444
1973-01-01,45.09327578769444
1973-01-01,45.09327578769444
1973-01-01,45.09327578769444
1973-01-01,45.09327578769444
1973-02-01,44.96209097803512
1973-02-01,44.96209097803512
1973-02-01,44.96209097803512
1973-02-01,44.96209097803512
1973-02-01,44.96209097803512
1973-03-01,44.830906168375805
1973-03-01,44.830906168375805
1973-03-01,44.830906168375805
1973-03-01,44.830906168375805
1973-03-01,44.830906168375805
1973-04-01,44.69972135871649
1973-04-01,44.69972135871649
1973-04-01,44.69972135871649
1973-04-01,44.69972135871649
1973-04-01,44.69972135871649
1973-05-01,44.56853654905717
1973-05-01,44.56853654905717
1973-05-01,44.56853654905717
1973-05-01,44.56853654905717
1973-05-01,44.56853654905717
1973-06-01,44.437351739397855
1973-06-01,44.437351739397855
1973-06-01,44.437351739397855
1973-06-01,44.437351739397855
1973-06-01,44.437351739397855
1973-07-01,44.30616692973854
1973-07-01,44.30616692973854
1973-07-01,44.30616692973854
1973-07-01,44.30616692973854
1973-07-01,44.30616692973854
1973-08-01,44.17498212007922
1973-08-01,44.17498212007922
1973-08-01,44.17498212007922
1973-08-01,44.17498212007922
1973-08-01,44.17498212007922
1973-09-01,44.043797310419905
1973-09-01,44.043797310419905
1973-09-01,44.043797310419905
1973-09-01,44.043797310419905
1973-09-01,44.043797310419905
1973-10-01,43.91261250076059
1973-10-01,43.91261250076059
1973-10-01,43.91261250076059
1973-10-01,43.91261250076059
1973-10-01,43.91261250076059
1973-11-01,43.78142769110127
1973-11-01,43.78142769110127
1973-11-01,43.78142769110127
1973-11-01,43.78142769110127
1973-11-01,43.78142769110127
1973-12-01,43.650242881441955
1973-12-01,43.650242881441955
1973-12-01,43.650242881441955
1973-12-01,43.650242881441955
1973-12-01,43.650242881441955
1974-01-01,46.15145142520714
1974-01-01,46.15145142520714
1974-01-01,46.15145142520714
1974-01-01,46.15145142520714
1974-01-01,46.15145142520714
1974-02-01,46.020266615547825
1974-02-01,46.020266615547825
1974-02-01,46.020266615547825
1974-02-01,46.020266615547825
1974-02-01,46.020266615547825
1974-03-01,45.88908180588851
1974-03-01,45.88908180588851
1974-03-01,45.88908180588851
1974-03-01,45.88908180588851
1974-03-01,45.88908180588851
1974-04-01,45.75789699622919
1974-04-01,45.75789699622919
1974-04-01,45.75789699622919
1974-04-01,45.75789699622919
1974-04-01,45.75789699622919
1974-05-01,45.626712186569875
1974-05-01,45.626712186569875
1974-05-01,45.626712186569875
1974-05-01,45.626712186569875
1974-05-01,45.626712186569875
1974-06-01,45.49552737691056
1974-06-01,45.49552737691056
1974-06-01,45.49552737691056
1974-06-01,45.49552737691056
1974-06-01,45.49552737691056
1974-07-01,45.36434256725124
1974-07-01,45.36434256725124
1974-07-01,45.36434256725124
1974-07-01,45.36434256725124
1974-07-01,45.36434256725124
1974-08-01,45.233157757591925
1974-08-01,45.233157757591925
1974-08-01,45.233157757591925
1974-08-01,45.233157757591925
1974-08-01,45.233157757591925
1974-09-01,45.10197294793261
1974-09-01,45.10197294793261
1974-09-01,45.10197294793261
1974-09-01,45.10197294793261
1974-09-01,45.10197294793261
1974-10-01,44.97078813827329
1974-10-01,44.97078813827329
1974-10-01,44.97078813827329
1974-10-01,44.97078813827329
1974-10-01,44.97078813827329
1974-11-01,44.839603328613975
1974-11-01,44.839603328613975
1974-11-01,44.839603328613975
1974-11-01,44.839603328613975
1974-11-01,44.839603328613975
1974-12-01,44.70841851895466
1974-12-01,44.70841851895466
1974-12-01,44.70841851895466
1974-12-01,44.70841851895466
1974-12-01,44.70841851895466
1975-01-01,47.20962706271939
1975-01-01,47.20962706271939
1975-01-01,47.20962706271939
1975-01-01,47.20962706271939
1975-01-01,47.20962706271939
1975-02-01,47.078442253060075
1975-02-01,47.078442253060075
1975-02-01,47.078442253060075
1975-02-01,47.078442253060075
1975-02-01,47.078442253060075
1975-03-01,46.94725744340076
1975-03-01,46.94725744340076
1975-03-01,46.94725744340076
1975-03-01,46.94725744340076
1975-03-01,46.94725744340076
1975-04-01,46.81607263374144
1975-04-01,46.81607263374144
1975-04-01,46.81607263374144
1975-04-01,46.81607263374144
1975-04-01,46.81607263374144
1975-05-01,46.684887824082125
1975-05-01,46.684887824082125
1975-05-01,46.684887824082125
1975-05-01,46.684887824082125
1975-05-01,46.684887824082125
1975-06-01,46.55370301442281
1975-06-01,46.55370301442281
1975-06-01,46.55370301442281
1975-06-01,46.55370301442281
1975-06-01,46.55370301442281
1975-07-01,46.42251820476349
1975-07-01,46.42251820476349
1975-07-01,46.42251820476349
1975-07-01,46.42251820476349
1975-07-01,46.42251820476349
1975-08-01,46.291333395104175
1975-08-01,46.291333395104175
1975-08-01,46.291333395104175
1975-08-01,46.291333395104175
1975-08-01,46.291333395104175
1975-09-01,46.16014858544486
1975-09-01,46.16014858544486
1975-09-01,46.16014858544486
1975-09-01,46.16014858544486
1975-09-01,46.16014858544486
1975-10-01,46.02896377578554
1975-10-01,46.02896377578554
1975-10-01,46.02896377578554
1975-10-01,46.02896377578554
1975-10-01,46.02896377578554
1975-11-01,45.897778966126225
1975-11-01,45.897778966126225
1975-11-01,45.897778966126225
1975-11-01,45.897778966126225
1975-11-01,45.897778966126225
1975-12-01,45.76659415646691
1975-12-01,45.76659415646691
1975-12-01,45.76659415646691
1975-12-01,45.76659415646691
1975-12-01,45.76659415646691
1976-01-01,48.267802700232096
1976-01-01,48.267802700232096
1976-01-01,48.267802700232096
1976-01-01,48.267802700232096
1976-01-01,48.267802700232096
1976-02-01,48.13661789057278
